"Jahr";"KennZahlen_1";"KennZahlen_2";"KennZahlen_3";"KennZahlen_4";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035";"2036";"2037";"2038";"2039";"2040";"2041";"2042";"2043";"2044";"2045";"2046";"2047";"2014 HJ IST";"2014 Q1 IST";"2014 Q3 IST";"2015 HJ IST";"2015 PLAN 2015-17";"2015 Q1 IST";"2015 Q3 IST";"2016 HJ IST";"2016 PLAN 2016-18";"2016 Q1 IST";"2016 Q3 IST";"2017 HJ IST";"2017 Q1 IST";"2017 Q2 IST";"2017 Q3 IST";"2018 HJ IST";"2018 Q1 IST";"2018 Q2 IST";"2018 Q3 IST";"2019 HJ IST";"2019 Q1 IST";"2019 Q2 IST";"2019 Q3 IST";"2020 HJ IST";"2020 Q1 IST";"2020 Q2 IST";"2020 Q3 IST";"2021 HJ IST";"2021 Q1 IST";"2021 Q2 IST";"2021 Q3 IST";"2022 HJ IST";"2022 Q1 IST";"2022 Q2 IST";"2022 Q3 IST";"2023 Q1 IST";"2023 Q2 IST";"2023 Q3 IST"
2015;"Annahmen";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Aktionärsquote";;;;;;0,12;;0,12;0,12;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"VN Quote";;;;;;0,88;;0,88;0,88;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Stornoquote";;;;0;0;;;0,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Neugeschäftsplanung";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"New Business Production (Pensionskasse, laufende Beiträge)";;;;;;87118994,16;76585927,85;92038597,93;74832501,76;59706584,1;54911912,8488217;49732385,622073;46585652,139237;43520824,9825847;41863196,2569188;40366770,5094207;38999407,8266833;37757817,3515875;36627394,1712052;35595278,809887;34650147,7853478;;;;;;;;;;;;;;;;;;;;;;;;;;;64155109,2275108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"New Business Production (Pensionskasse, Einmaleinlagen)";;;;;;677314,55;677389,36;764739,82;708687,57;313310;251539,713346667;226386,462044542;201751,210738188;177924,645788312;156823,107905233;138271,053463225;121820,041216619;107343,295908271;94603,8834253454;83393,3051000384;73528,0849474636;;;;;;;;;;;;;;;;;;;;;;;;;;;334816,55665068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"New Business Production (Pensionskasse gesamt)";;;;;;87796308,71;77263317,21;92803337,75;75541189,33;60019894,1;55163452,5621684;49958772,0841176;46787403,3499752;43698749,628373;42020019,364824;40505041,5628839;39121227,8679;37865160,6474958;36721998,0546305;35678672,1149871;34723675,8702952;;;;;;;;;;;;;;;;;;;;;;;;;;;64489925,7841615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Überschussentstehung";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Risikoergebnis";;;;-23076,9188548582;94668,015;-300019,760000001;-274578,926115304;-2505566,682;661965,978410503;231048,659331709;-244812,845370117;-145930,290907566;-165566,045068097;-147246,627449005;-127784,192216656;-67094,0201486557;-67988,9539359864;22083,0949427513;65378,8426551818;473095,492505788;880342,224263952;;;;;;;;;;;;;;;;;;;;;;;1277670,8343059;1746637,12472607;789262,624704386;-6113532,56455708;95684,4881631011;-2867897,04270351;-10418637,6997236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
