"Jahr";"A";"B";"C";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035";"2036";"2037";"2038";"2039";"2040";"2041";"2042";"2043";"2044";"2045";"2046";"2047";"2014 HJ IST";"2014 Q1 IST";"2014 Q3 IST";"2015 HJ IST";"2015 Q1 IST";"2015 Q3 IST";"2016 HJ IST";"2016 Q1 IST";"2016 Q3 IST";"2017 HJ IST";"2017 Q1 IST";"2017 Q2 IST";"2017 Q3 IST";"2018 HJ IST";"2018 Q1 IST";"2018 Q2 IST";"2018 Q3 IST";"2019 HJ IST";"2019 Q1 IST";"2019 Q2 IST";"2019 Q3 IST";"2020 HJ IST";"2020 Q1 IST";"2020 Q2 IST";"2020 Q3 IST";"2021 HJ IST";"2021 Q1 IST";"2021 Q2 IST";"2021 Q3 IST";"2022 HJ IST";"2022 Q1 IST";"2022 Q2 IST";"2022 Q3 IST";"2023 Q1 IST";"2023 Q2 IST";"2023 Q3 IST"
2015;"I Versicherungstechnische Rechnung";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";;"a)_Gebuchte Bruttobeiträge";41852073,26;41940920,54;42693380,5;42947077,96;43726191,81;44637820,23;44200067,82;42641070,6733593;43670479,4326284;44319099,998788;44662364,6081135;44738769,4527711;44346280,5214901;43731705,9247976;43160988,2721935;42472205,0001148;41638093,1942212;40944368,3173193;;;;;;;;;;;;;;;;;;;;;;;19249646,24;10110432,9;28124692,28;18677422,21;9775179,52;27622301,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";;"b)_Veränderung der Beitragsüberträge";-11718,05;202869,78;-294603,99;369673,68;-4372,22;85527,26;50727,57;-8831,87320565866;3614,09378514414;104171,337336991;101009,822269411;86768,387746433;123616,476728365;270990,388583811;139532,451158489;217483,897252793;81306,9028347593;94742,9607420303;;;;;;;;;;;;;;;;;;;;;;;494970,67;-342736,18;1345678,92;554077,36;-244357,31;1398815,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"1_Verdiente Beiträge";;41840355,21;42143790,32;42398776,51;43316751,64;43721819,59;44723347,49;44250795,39;42632238,8001537;43674093,5264135;44423271,3361249;44763374,4303829;44825537,8405176;44469896,9982185;44002696,3133814;43300520,723352;42689688,8973676;41719400,097056;41039111,2780614;;;;;;;;;;;;;;;;;;;;;;;19744616,91;9767696,72;29470371,2;19231499,57;9530822,21;29021116,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"2_Beiträge aus RfB";;1547045,3;2006374,09;2363957,26;2184227,83;2194212,85;3002400,81;2017361,48;3758897,32785156;421923,905861949;322231,485627129;241081,35632708;230936,570095632;206309,981186007;170063,776723649;172170,285265949;202108,291625726;213058,860390156;116554,163746712;;;;;;;;;;;;;;;;;;;;;;;767515,17;695259,35;869584,86;749482,05;678161,95;821753,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"2_Beiträge aus RfB";"a)_Erträge aus Beteiligungen";0;0;332866,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"2_Beiträge aus RfB";"a)_Erträge aus anderen Kapitalanlagen";7915932,33;10015075,08;11493263,94;13619915,07;17167719,23;16775691,86;23694421,64;19831043,1515359;23129608,7811392;24295229,4837909;26167817,3520149;27742358,1469936;29198891,4036139;30701225,6359356;32176260,132394;33548932,7019149;34820610,3705843;36126657,2998481;;;;;;;;;;;;;;;;;;;;;;;8690384,57;4201516,86;13480291,86;14214488,11;8659080,99;22163897,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"2_Beiträge aus RfB";"b)_Gewinne aus dem Abgang von Kapitalanlange";106851,63;713580;127000;1323,24;292836,66;2423000;1457096,96;5711923;2237500;5620000;7202500;2485000;1485000;1485000;1485000;1485000;1485000;1485000;;;;;;;;;;;;;;;;;;;;;;;1438250;1058000;1443433,85;2711923,34;0;2711923,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"2_Beiträge aus RfB";"c)_Erträge aus Zuschreibungen";162;67078,5;26460;0;892828,3;0;295985,66;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;316530,2;34511,91;364472,71;6161,57;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"3_Ordentliche und ausserordentliche Erträge aus Kapitalanlagen";;8022945,96;10795733,58;11979590,03;13621238,31;18353384,19;19198691,86;25447504,26;25542966,1515359;25367108,7811392;29915229,4837909;33370317,3520149;30227358,1469936;30683891,4036139;32186225,6359356;33661260,132394;35033932,7019149;36305610,3705843;37611657,2998481;;;;;;;;;;;;;;;;;;;;;;;10445164,77;5294028,77;15288198,42;16932573,02;8659080,99;24875820,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"4_Nicht realisierte Gewinne aus Kapitalanlagen";;39645,98;738500,58;694499,44;44582,85;694859,91;441135,3;948157,01;542747,726238232;635399,268689721;731852,142816631;835301,025673284;945311,230481516;1059405,0585693;1177182,34135051;1298073,31886906;1421504,65428658;1546966,57905887;1673985,04877061;;;;;;;;;;;;;;;;;;;;;;;376116,95;18780,28;751124,87;727554,24;1049613,35;385,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"4_Nicht realisierte Gewinne aus Kapitalanlagen";"a)_Sonstige technische Erträge: Übrige";21355,93;1080,08;0;0;0;0,05;4081,4;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;4100;;;;;;;;;;;;;;;;;;;;;;;0;0;0;12366,08;8249,96;12366,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"4_Nicht realisierte Gewinne aus Kapitalanlagen";"b)_Auflösung Ansammlungsguth. zur Leistungserhöhung";;;;;;0;413826,12;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;15648,26;12336,64;17165,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"4_Nicht realisierte Gewinne aus Kapitalanlagen";"c)_Nebenleistungen der VN für Zahlungsverzug";2170,75;2226,51;1224,57;1500,89;1898,59;1461,47;1504,58;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600;;;;;;;;;;;;;;;;;;;;;;;1430,85;1430,85;1430,85;29,51;29,51;103,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"4_Nicht realisierte Gewinne aus Kapitalanlagen";"d)_Erhöhung aktivierbarer Zillmerabzug";113281,77;47883,63;169942,49;8810,04;0;735,22;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;72,67;0;92,79;1301,77;761,31;2763,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"5_Sonstige versicherungstechnische Erträge für eigene Rechnung";;136808,45;51190,22;171167,06;10310,93;1898,59;2196,74;419412,1;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;;;;;;;;;;;;;;;;;;;;;;;1503,52;1430,85;1523,64;29345,62;21377,42;32398,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"5_Sonstige versicherungstechnische Erträge für eigene Rechnung";"Zahlungen für Versicherungsfälle";-3208540,39;-3353104,79;-4123082,21;-4396009,43;-5875953,87;-7202452,89;-8134587,51;-10478393,6471527;-11673173,1380584;-12887179,1851857;-15459034,9106585;-15682298,8939959;-18608139,0431335;-21618934,7878699;-21946515,2665891;-29279325,6921033;-29132674,0046931;-28365626,2939306;;;;;;;;;;;;;;;;;;;;;;;-3509821,49;-2078430,25;-4981969,89;-4760191,18;-2668689,76;-6466033,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"5_Sonstige versicherungstechnische Erträge für eigene Rechnung";"Regulierungsaufwendungen";-59841,21;-60053,21;-74456,98;-79262,48;-413044,43;-431406,9;-416017,82;-248190,184620961;-248190,184620961;-248190,184620961;-248190,184620961;-248190,184620961;-248190,184620961;-248190,184620961;-248190,184620961;-248190,184620961;-248190,184620961;-248190,184620961;;;;;;;;;;;;;;;;;;;;;;;-205728,16;-106631,74;-302858,13;-180697,32;-87057,09;-258370,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"5_Sonstige versicherungstechnische Erträge für eigene Rechnung";"a)_Zahlungen für Versicherungsfälle";-3268381,6;-3413158;-4197539,19;-4475271,91;-6288998,3;-7633859,79;-8550605,33;-10726583,8317737;-11921363,3226794;-13135369,3698066;-15707225,0952795;-15930489,0786169;-18856329,2277545;-21867124,9724908;-22194705,45121;-29527515,8767243;-29380864,1893141;-28613816,4785515;;;;;;;;;;;;;;;;;;;;;;;-3715549,65;-2185061,99;-5284828,02;-4940888,5;-2755746,85;-6724403,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"5_Sonstige versicherungstechnische Erträge für eigene Rechnung";"b)_Veränderung Rückst. f. noch nicht abgew. Vers.fälle";-105533,87;124120,98;-128414,17;-380189,6;-267292,55;109167,28;158698,85;-7078,06000000003;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;-296247,3;-253526,55;284219,58;97895,92;-31113,22;100050,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"6_Aufwendungen für Versicherungsfälle inklusive Regulierungsaufwendungen";;-3373915,47;-3289037,02;-4325953,36;-4855461,51;-6556290,85;-7524692,51;-8391906,48;-10733661,8917737;-11921363,3226794;-13135369,3698066;-15707225,0952795;-15930489,0786169;-18856329,2277545;-21867124,9724908;-22194705,45121;-29527515,8767243;-29380864,1893141;-28613816,4785515;;;;;;;;;;;;;;;;;;;;;;;-4011796,95;-2438588,54;-5000608,44;-4842992,58;-2786860,07;-6624353,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"6_Aufwendungen für Versicherungsfälle inklusive Regulierungsaufwendungen";"a)_Bilanz-Deckungsrückstellung";-40614417,24;-43575755,79;-45377324,12;-44842538,81;-47926076,49;-46943283,09;-52816399,75;-53233868,5410029;-52971608,9679796;-56540747,8542735;-59301144,8853901;-59207379,5591611;-51140731,585895;-48525249,3374011;-40908090,1831279;-32939685,6460383;-29757009,6755321;-27042777,4635724;;;;;;;;;;;;;;;;;;;;;;;-21112817,06;-10096073,24;-33374361,75;-27719093,8;-14916981,95;-40294816,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"7_Veränderung der übrigen versicherungstechn. Nettorückstellungen";;-40614417,24;-43575755,79;-45377324,12;-44842538,81;-47926076,49;-46943283,09;-52816399,75;-53233868,5410029;-52971608,9679796;-56540747,8542735;-59301144,8853901;-59207379,5591611;-51140731,585895;-48525249,3374011;-40908090,1831279;-32939685,6460383;-29757009,6755321;-27042777,4635724;;;;;;;;;;;;;;;;;;;;;;;-21112817,06;-10096073,24;-33374361,75;-27719093,8;-14916981,95;-40294816,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"8_Aufwendungen für RfB";;-2576976,76;-3922152,37;-3627119,62;-4387446,35;-2469056,23;-7085762,73;-4046280,55;-2563903,18400874;-964953,934976549;-1444028,91034192;-164041,543427214;0;-2761568,42678705;-3389834,03099071;-10753734,1597599;-11952868,0325525;-14940679,5208496;-19234668,5108783;;;;;;;;;;;;;;;;;;;;;;;-4021338,47;-2093937,33;-4918742,19;-2451453,83;-891020,89;-3915812,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"8_Aufwendungen für RfB";"a)_Abschlussaufwendungen";-1917525,73;-1412163;-1706258,88;-1640427,9;-1848287,1;-1473907,46;-1023520,34;-981972,194572672;-914972,194572672;-886972,194572672;-856972,194572672;-856972,194572672;-856972,194572672;-856972,194572672;-856972,194572672;-856972,194572672;-856972,194572672;-856972,194572672;;;;;;;;;;;;;;;;;;;;;;;-392969,64;-285552,16;-540659,17;-518559,47;-266790,87;-643561,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"8_Aufwendungen für RfB";"b)_Verwaltungsaufwendungen";-879313,51;-904339,39;-847142,07;-1055864,74;-829073,44;-827637,65;-840472,93;-888751,168683002;-888751,168683002;-888751,168683002;-888751,168683002;-888751,168683002;-888751,168683002;-888751,168683002;-888751,168683002;-888751,168683002;-888751,168683002;-888751,168683002;;;;;;;;;;;;;;;;;;;;;;;-406271,33;-207824,46;-625413,22;-384936,31;-189988,56;-568018,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I Versicherungstechnische Rechnung";"9_Aufwendungen für den Versicherungsbetrieb";;-2796839,24;-2316502,39;-2553400,95;-2696292,64;-2677360,54;-2301545,11;-1863993,27;-1870723,36325567;-1803723,36325567;-1775723,36325567;-1745723,36325567;-1745723,36325567;-1745723,36325567;-1745723,36325567;-1745723,36325567;-1745723,36325567;-1745723,36325567;-1745723,36325567;;;;;;;;;;;;;;;;;;;;;;;-799240,97;-493376,62;-1166072,39;-903495,78;-456779,43;-1211579,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
