"Jahr";"Mindestzuführung_1";"Mindestzuführung_2";"Mindestzuführung_3";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035";"2036";"2037";"2038";"2039";"2040";"2041";"2042";"2043";"2044";"2045";"2046";"2047";"2";"2014 HJ IST";"2014 Q1 IST";"2014 Q3 IST";"2015 HJ IST";"2015 Q1 IST";"2015 Q3 IST";"2016 Q1 IST"
2015;"Risikoergebnis";"Risikoergebnis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Risikoergebnis";"Risikoergebnis";;0;0;0;0;0;661965,978410503;231048,659331709;-244812,845370117;-145930,290907566;-165566,045068097;-147246,627449005;-127784,192216656;-67094,0201486557;-67988,9539359864;22083,0949427513;65378,8426551818;473095,492505788;0;;;;;;;;;;;;;;;;;;;;;;;;2616895,70157967;2404777,18260034;2784326,11965411;-6113532,56455708;-2867897,04270351;-10418637,6997236;
2015;"Risikoergebnis";"Zuführung (>0)";;0;0;0;0;0;496474,483807878;173286,494498782;0;0;0;0;0;0;0;16562,3212070635;49034,1319913863;354821,619379341;0;;;;;;;;;;;;;;;;;;;;;;;0,75;1962671,77618475;1803582,88695025;2088244,58974058;0;0;0;
2015;"KA";"Nebenrechnung: Zinstragende Passiva (inkl. AV 8)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittl. Deckungsrückstellung";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittl. noch nicht fällige Ansprüche an VN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittl. Beitragsüberträge";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittl. Rückstellung f. noch nicht abgew. VF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittl. angesammelte Überschüsse";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittl. RfB";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittl. übrige versicherungstechnische Rückst.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittleres Eigenkapital (ohne Nachrangdarlehen)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittlere nachrangigen Verbindlichkeiten";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittlere Rückstellungen";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittleres passives Rückversicherungsgeschäft";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"Kapitalanlageergebnis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"Ordentliche und ausserordentliche Erträge aus Kapitalanlagen";;8022945,96;10795733,58;11979590,03;13621238,31;18353384,19;19198691,86;25447504,26;25542966,1515359;25988356,0534315;34019958,7611216;24562307,1655515;13965538,0979262;14339871,0782102;14680741,4480275;15000900,6869114;15276321,1169689;15507779,915374;15738518,1783271;;;;;;;;;;;;;;;;;;;;;;;;10445164,77;5294028,77;15288198,42;16932573,02;8659080,99;24875820,61;
