"Jahr";"Mindestzuführung_1";"Mindestzuführung_2";"Mindestzuführung_3";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035";"2036";"2037";"2038";"2039";"2040";"2041";"2042";"2043";"2044";"2045";"2046";"2047";"2";"2014 HJ IST";"2014 Q1 IST";"2014 Q3 IST";"2015 HJ IST";"2015 Q1 IST";"2015 Q3 IST";"2016 Q1 IST"
2015;"Risikoergebnis";"Risikoergebnis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Risikoergebnis";"Risikoergebnis";;-23076,9188548582;94668,015;-300019,760000001;-274578,926115304;-2505566,682;661965,978410503;231048,659331709;-244812,845370117;-145930,290907566;-165566,045068097;-147246,627449005;-127784,192216656;-67094,0201486557;-67988,9539359864;22083,0949427513;65378,8426551818;473095,492505788;0;;;;;;;;;;;;;;;;;;;;;;;;1277670,8343059;1746637,12472607;789262,624704386;-6113532,56455708;-2867897,04270351;-10418637,6997236;
2015;"Risikoergebnis";"Zuführung (>0)";;0;71001,01125;0;0;0;496474,483807878;173286,494498782;0;0;0;0;0;0;0;16562,3212070635;49034,1319913863;354821,619379341;0;;;;;;;;;;;;;;;;;;;;;;;0,75;958253,125729425;1309977,84354455;591946,96852829;0;0;0;
2015;"KA";"Nebenrechnung: Zinstragende Passiva (inkl. AV 8)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittl. Deckungsrückstellung";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittl. noch nicht fällige Ansprüche an VN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittl. Beitragsüberträge";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittl. Rückstellung f. noch nicht abgew. VF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittl. angesammelte Überschüsse";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittl. RfB";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittl. übrige versicherungstechnische Rückst.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittleres Eigenkapital (ohne Nachrangdarlehen)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittlere nachrangigen Verbindlichkeiten";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittlere Rückstellungen";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"mittleres passives Rückversicherungsgeschäft";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"Kapitalanlageergebnis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"Ordentliche und ausserordentliche Erträge aus Kapitalanlagen";;8022945,96;10795733,58;11979590,03;13621238,31;18353384,19;19198691,86;25447504,26;25542966,1515359;25367108,7811392;29915229,4837909;33370317,3520149;30227358,1469936;30683891,4036139;32186225,6359356;33661260,132394;35033932,7019149;36305610,3705843;37611657,2998481;;;;;;;;;;;;;;;;;;;;;;;;10445164,77;5294028,77;15288198,42;16932573,02;8659080,99;24875820,61;
