"Jahr";"A";"B";"F";"Szenario 1";"Szenario 2";"Szenario 3";"Szenario 4"
2015;"A.";"Ergebnisprognose des ersten Geschäftsjahres";;;;;
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.1._Verdiente Beiträge für eigene Rechnung";;42632;42632;42632;42632
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.2._Beiträge aus der Brutto-Rückstellung für Beitragsrückerstattung";;3759;3759;3759;3759
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.3._Erträge aus Kapitalanlagen";;25543;25543;25543;25543
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.3.1._davon: laufende Erträge aus Kapitalanlagen (Nw. 201, S. 1, Spalte 1, Zeile 26 ./. Zeile 25)";;19831;19831;19831;19831
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.3.2._davon: übrige Erträge aus Kapitalanlagen (Nw. 201, S. 1, Spalte 2, Zeile 26 ./. Zeile 25)";;5712;5712;5712;5712
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.4._Nicht realisierte Gewinne aus Kapitalanlagen";;543;455;15;0
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.5._Sonstige versicherungstechnische Erträge für eigene Rechnung";;6;6;6;6
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.6._Aufwendungen für Versicherungsfälle für eigene Rechnung";;10734;10734;10734;10734
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.7._Veränderung der übrigen versicherungstechnischen Netto-Rückstellungen";;53234;53146;52706;52691
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.8._Aufwendungen für die erfolgsabhängige Beitragsrückerstattung für eigene Rechnung";;2564;2564;2564;2564
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.9._Aufwendungen für den Versicherungsbetrieb für eigene Rechnung";;1871;1871;1871;1871
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.10._Aufwendungen für Kapitalanlagen";;2161;2161;2161;2161
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.10.1._davon: laufende Aufwendungen für Kapitalanlagen (Nw. 201, S. 1, Spalte 3, Zeile 26 ./. Zeile 25)";;804;804;804;804
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.10.2._davon: übrige Aufwendungen für Kapitalanlagen (Nw. 201, S. 1, Spalte 4, Zeile 26 ./. Zeile 25)";;1357;1357;1357;1357
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.11._Nicht realisierte Verluste aus Kapitalanlagen";;0;0;0;0
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.12._Sonstige versicherungstechnische Aufwendungen für eigene Rechnung";;1245;1245;1245;1245
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.13._Versicherungstechnisches Ergebnis für eigene Rechnung";;674;674;674;674
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.14._Saldo der Posten II.1., II.2., II.4., II.5. und II.7. bis II.10. aus Formblatt 3 RechVersV";;-355;-355;-355;-355
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.15_Ausgleichsposten aus dem Vorjahr 2) 4)";;0;0;0;0
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.16._Jahresüberschuss/Jahresfehlbetrag";;319;319;319;319
2015;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.17._nachrichtlich: Ergebnis aus dem abgegebenen VG";;0;0;0;0
